User_ID,Age,Gender,Location,New_Social_Media_Follower,User_Lifetime_Days,Product_Purchased,Spend,Converted_to_Course,Product_Rating,NPS_Score,Days_Since_Last_Interaction,Churned,Group,Converted,Upsell_Revenue,Home_Website_Interaction_Count,Time_to_Conversion,Conversion_Channel,Engagement_Score,Funnel_Stage,Ad_Exposure_Count,Referral_Count,Previous_Purchase_History,Location_Tier
26,22,Non-binary,West U.S.,0,279,eBook,30,0,5,8.434078235030734,33.0,0,Control,0,30,21,239,Website,92.7007299270073,Converted,10,2,0,Suburban
27,32,Female,Northeast U.S.,0,356,Data Course,45,0,1,1.5956364228436521,33.0,0,Treatment,1,30,16,0,,60.58394160583942,Lead,2,2,1,Urban
28,28,Non-binary,Southwest U.S.,1,64,,10,1,5,9.573818537061914,41.0,0,Control,0,30,14,0,,33.57664233576642,Lead,2,2,0,Suburban
29,25,Male,Northeast U.S.,1,55,Data Course,45,1,3,9.117922416249444,17.0,0,Treatment,0,30,14,0,,30.656934306569344,Lead,4,0,0,Urban
30,18,Male,West U.S.,0,349,eBook,30,1,1,10.0,29.0,1,Treatment,0,30,32,222,Referral,74.45255474452554,Converted,14,5,1,Suburban
31,24,Male,Southwest U.S.,1,57,Data Course,45,0,2,8.320104204827617,36.0,1,Treatment,0,30,24,3,Email Campaign,35.03649635036496,Converted,13,2,1,Urban
32,32,Male,Europe,0,262,,0,0,5,4.900883298734075,19.0,0,Control,0,30,23,0,,75.18248175182481,Lead,0,2,0,Suburban
33,25,Female,West U.S.,1,98,1-1 Session,102,1,1,4.103065087312247,31.0,0,Treatment,0,30,11,0,,18.97810218978102,Lead,0,1,0,Rural
34,33,Female,West U.S.,1,110,1-1 Session,24,1,5,9.573818537061914,22.0,0,Control,0,30,23,0,,16.05839416058394,Lead,5,1,0,Suburban
35,27,Female,Midwest U.S.,0,402,eBook,30,0,1,6.610493751780845,,1,Control,0,30,23,0,,72.26277372262774,Engaged,2,4,0,Suburban
36,19,Female,Northeast U.S.,0,381,Data Course,45,0,1,7.408311963202673,20.0,0,Control,0,30,21,0,,85.40145985401459,Engaged,4,5,0,Suburban
37,18,Female,Europe,0,99,eBook,30,0,2,10.0,33.0,1,Control,0,30,11,0,,47.44525547445255,Lead,0,1,0,Suburban
38,24,Male,Southwest U.S.,0,334,Bundle,60,1,3,5.128831359140312,38.0,0,Treatment,0,30,24,191,Website,71.53284671532847,Converted,12,2,1,Urban
39,26,Non-binary,West U.S.,0,280,Data Course,45,0,1,10.0,7.0,0,Control,0,30,15,0,,74.45255474452554,Lead,1,3,0,Urban
40,31,Female,West U.S.,1,77,1-1 Session,61,1,5,7.750234053812025,48.0,0,Control,1,30,7,0,,26.277372262773724,Lead,5,1,0,Urban
41,21,Female,Europe,1,93,Bundle,60,1,4,4.672935238327839,48.0,0,Treatment,1,30,13,0,,37.95620437956204,Lead,0,2,1,Suburban
42,32,Female,West U.S.,1,130,eBook,30,0,5,4.103065087312247,31.0,0,Treatment,1,30,2,0,,18.248175182481752,Lead,1,1,1,Urban
43,40,Male,Northeast U.S.,1,75,Bundle,60,1,1,7.978182114218262,0.0,1,Treatment,1,30,41,19,Website,44.52554744525548,Converted,11,5,1,Urban
44,25,Female,Southwest U.S.,0,352,Data Course,45,0,2,6.1545976309683725,23.0,1,Treatment,1,30,15,0,,54.01459854014598,Engaged,4,2,1,Urban
45,22,Male,Europe,1,78,Data Course,45,1,-3,6.610493751780845,25.0,0,Control,0,30,33,59,Website,31.38686131386861,Converted,4,1,1,Urban
46,28,Female,Europe,1,108,eBook,30,0,3,5.8126755403590185,27.0,0,Control,1,30,8,0,,18.248175182481752,Lead,1,3,1,Rural
47,20,Female,Midwest U.S.,1,0,Data Course,45,0,1,7.180363902796436,32.0,0,Control,0,30,30,0,,17.51824817518248,Lead,3,1,0,Urban
48,37,Male,Southwest U.S.,0,382,1-1 Session,35,1,3,9.345870476655678,26.0,0,Treatment,1,30,25,0,,76.64233576642336,Lead,2,1,0,Urban
49,22,Male,Europe,1,92,1-1 Session,71,1,-2,6.952415842390199,22.0,0,Treatment,1,30,1,0,,24.817518248175183,Lead,0,1,0,Suburban
50,27,Non-binary,West U.S.,1,94,1-1 Session,174,1,4,7.294337932999554,12.0,0,Control,0,30,25,0,,5.839416058394161,Lead,2,3,0,Suburban
51,37,Female,Southwest U.S.,0,241,eBook,30,1,5,5.014857328937193,28.0,0,Treatment,1,30,22,82,Referral,62.77372262773723,Converted,8,4,1,Rural
52,40,Female,Northeast U.S.,0,363,1-1 Session,162,1,1,8.776000325640087,27.0,1,Control,0,30,18,0,,80.2919708029197,Lead,1,1,0,Suburban
53,39,Female,Europe,1,43,1-1 Session,108,1,4,4.786909268530957,18.0,0,Treatment,1,30,22,0,,9.48905109489051,Engaged,2,2,0,Urban
54,37,Female,Northeast U.S.,0,367,1-1 Session,94,1,5,5.128831359140312,11.0,0,Treatment,1,30,4,0,,81.02189781021897,Lead,5,2,1,Urban
55,40,Male,Europe,0,158,Data Course,45,1,2,3.98909105710913,15.0,0,Treatment,1,30,13,0,,59.12408759124088,Engaged,3,3,0,Rural
56,19,Male,West U.S.,0,134,eBook,30,1,1,8.662026295436968,17.0,0,Control,1,30,0,0,,51.09489051094891,Lead,1,0,0,Urban
57,18,Female,Midwest U.S.,1,66,eBook,30,0,4,10.0,,1,Treatment,1,30,12,0,,5.109489051094891,Lead,2,3,0,Urban
58,37,Non-binary,West U.S.,1,28,1-1 Session,34,1,3,4.558961208124721,47.0,0,Treatment,1,30,10,1,Email Campaign,12.408759124087592,Converted,10,2,1,Urban
59,19,Female,Northeast U.S.,1,88,Data Course,45,0,4,10.0,30.0,1,Control,0,30,12,0,,41.6058394160584,Engaged,1,2,0,Suburban
60,33,Male,Southwest U.S.,0,111,Data Course,45,0,3,6.838441812187082,3.0,0,Control,1,30,6,0,,43.79562043795621,Lead,3,0,1,Rural
61,28,Female,Northeast U.S.,1,54,,17,0,4,10.0,21.0,0,Control,0,30,18,0,,33.57664233576642,Engaged,3,3,0,Urban
62,18,Female,Midwest U.S.,0,256,Bundle,60,1,3,7.978182114218262,16.0,0,Treatment,0,30,17,0,,64.23357664233576,Engaged,4,3,0,Suburban
63,18,Female,Europe,1,84,eBook,30,1,3,6.4965197215777275,4.0,1,Treatment,1,30,9,0,,27.73722627737226,Engaged,2,1,0,Rural
64,39,Female,Europe,1,96,Data Course,45,0,5,8.776000325640087,7.0,1,Control,1,30,10,0,,21.16788321167883,Lead,2,2,1,Urban
65,32,Female,Northeast U.S.,0,310,1-1 Session,78,1,5,5.128831359140312,26.0,1,Treatment,0,30,7,0,,94.16058394160584,Lead,0,1,1,Suburban
66,29,Male,Southwest U.S.,0,362,1-1 Session,0,1,4,6.724467781983963,0.0,0,Control,1,30,3,0,,78.83211678832117,Lead,2,3,1,Rural
67,31,Female,Europe,0,154,,45,0,3,10.0,51.0,1,Treatment,1,30,6,0,,55.47445255474452,Lead,1,3,1,Suburban
68,29,Male,Europe,0,267,1-1 Session,134,1,3,4.900883298734075,,1,Treatment,1,30,14,0,,64.96350364963503,Engaged,1,2,0,Suburban
69,18,Female,Midwest U.S.,1,55,Bundle,60,1,4,7.864208084015143,42.0,0,Treatment,1,30,7,0,,35.76642335766424,Lead,4,3,0,Rural
70,29,Female,Midwest U.S.,0,384,,0,0,1,10.0,7.0,0,Control,1,30,12,0,,77.37226277372264,Lead,3,1,1,Urban
71,18,Female,Southwest U.S.,0,281,eBook,30,0,5,9.003948386046323,55.0,0,Control,0,30,22,0,,70.8029197080292,Lead,2,4,0,Rural
72,31,Non-binary,Europe,1,2,eBook,30,1,1,9.117922416249444,53.0,1,Treatment,1,30,24,0,,44.52554744525548,Engaged,4,0,0,Rural
73,26,Female,West U.S.,0,373,1-1 Session,213,1,1,3.5331949362966593,35.0,0,Control,0,30,15,0,,65.69343065693431,Engaged,5,2,1,Suburban
74,42,Female,Northeast U.S.,1,86,eBook,30,0,1,10.0,11.0,1,Control,0,30,17,0,,37.22627737226277,Engaged,4,1,0,Urban
75,20,Female,Europe,1,75,eBook,30,0,3,8.662026295436968,35.0,1,Treatment,1,30,24,1,Website,0.0,Converted,12,3,1,Urban
76,26,Male,Northeast U.S.,0,135,,119,0,3,7.864208084015143,40.0,0,Treatment,1,30,12,86,Website,62.77372262773723,Converted,12,4,1,Suburban
77,30,Male,Europe,1,79,,82,0,1,5.128831359140312,30.0,0,Control,0,30,37,12,Social Media,27.73722627737226,Converted,7,0,1,Urban
78,48,Female,Midwest U.S.,1,118,Data Course,45,0,4,3.419220906093541,26.0,0,Control,0,30,9,0,,23.35766423357664,Lead,2,0,1,Suburban
79,41,Male,Southwest U.S.,1,108,Bundle,60,1,1,5.470753449749666,43.0,1,Treatment,1,30,21,18,Website,38.68613138686132,Converted,9,0,1,Suburban
80,23,Male,West U.S.,0,243,eBook,30,0,5,7.180363902796436,13.0,0,Treatment,1,30,15,0,,40.14598540145985,Engaged,1,2,1,Suburban
81,25,Non-binary,Midwest U.S.,0,127,Data Course,45,0,5,7.0663898725933185,17.0,0,Treatment,0,30,7,0,,43.79562043795621,Engaged,2,1,0,Urban
82,39,Female,Southwest U.S.,0,409,eBook,30,0,1,3.647168966499776,30.0,0,Treatment,0,30,26,231,Referral,94.16058394160584,Converted,10,1,1,Urban
83,29,Female,Midwest U.S.,0,265,1-1 Session,168,1,1,8.092156144421377,36.0,0,Treatment,1,30,24,132,Email Campaign,56.934306569343065,Converted,8,4,1,Rural
84,24,Female,Northeast U.S.,1,0,1-1 Session,48,1,1,5.242805389343428,34.0,1,Control,0,30,12,0,,16.05839416058394,Lead,0,1,0,Suburban
85,33,Male,Europe,0,288,Data Course,45,1,2,5.242805389343428,30.0,1,Control,1,30,8,0,,78.83211678832117,Engaged,2,1,1,Urban
86,18,Non-binary,Midwest U.S.,0,162,eBook,30,1,2,7.978182114218262,12.0,1,Control,0,30,10,0,,30.656934306569344,Lead,2,3,1,Urban
87,45,Female,Southwest U.S.,0,204,eBook,30,0,4,6.040623600765255,20.0,0,Control,0,30,26,87,Email Campaign,75.91240875912408,Converted,14,1,1,Suburban
88,25,Male,Europe,0,176,Data Course,45,0,1,7.636260023608906,0.0,1,Control,0,30,23,0,,33.57664233576642,Engaged,0,2,1,Urban
89,37,Non-binary,Northeast U.S.,0,185,Data Course,45,0,2,6.610493751780845,,1,Treatment,1,30,6,0,,27.00729927007299,Lead,4,1,1,Urban
90,36,Female,Northeast U.S.,0,108,1-1 Session,45,1,4,7.0663898725933185,29.0,0,Treatment,0,30,31,4,Website,55.47445255474452,Converted,6,2,1,Suburban
91,23,Non-binary,West U.S.,1,45,eBook,30,0,5,2.963324785281069,9.0,0,Treatment,0,30,27,21,Website,36.496350364963504,Converted,5,1,0,Rural
92,41,Female,Europe,0,206,,0,0,3,8.889974355843204,30.0,0,Treatment,0,30,13,0,,59.85401459854016,Lead,4,0,1,Suburban
93,32,Female,Northeast U.S.,0,371,eBook,30,0,2,7.294337932999554,22.0,1,Control,1,30,0,0,,96.35036496350364,Engaged,0,0,0,Urban
94,34,Female,Midwest U.S.,0,307,Bundle,60,1,5,5.470753449749666,19.0,1,Control,0,30,16,0,,81.02189781021897,Engaged,2,3,0,Urban
95,39,Male,Northeast U.S.,0,162,eBook,30,1,4,8.092156144421377,41.0,0,Control,1,30,15,0,,33.57664233576642,Engaged,3,4,1,Urban
96,18,Female,Northeast U.S.,1,57,Data Course,45,0,1,6.3825456913746095,21.0,0,Treatment,1,30,23,11,Email Campaign,27.00729927007299,Converted,8,0,1,Urban
97,18,Male,Northeast U.S.,1,94,Data Course,45,0,4,10.0,1.0,0,Control,1,30,18,0,,28.46715328467153,Engaged,2,2,1,Suburban
98,33,Non-binary,West U.S.,0,347,,2,0,3,6.4965197215777275,31.0,0,Treatment,1,30,22,0,,78.83211678832117,Engaged,2,2,0,Suburban
99,32,Female,Southwest U.S.,1,178,1-1 Session,6,1,3,6.268571661171491,,0,Treatment,1,30,26,62,Website,43.06569343065693,Converted,7,5,1,Urban
100,18,Female,Northeast U.S.,1,92,eBook,30,0,2,10.0,24.0,0,Control,0,30,15,0,,19.708029197080293,Lead,1,1,0,Suburban
101,30,Female,Southwest U.S.,0,277,,43,0,4,4.331013147718484,29.0,1,Treatment,1,30,6,0,,62.04379562043796,Lead,1,1,0,Suburban
102,41,Male,Europe,0,145,1-1 Session,171,1,4,5.014857328937193,53.0,1,Control,0,30,5,0,,45.25547445255474,Lead,0,0,0,Rural
103,18,Female,Southwest U.S.,0,299,,52,0,3,8.320104204827617,38.0,0,Control,0,30,21,0,,54.74452554744526,Lead,4,4,0,Urban
104,34,Male,Europe,1,43,Bundle,60,1,3,5.584727479952783,32.0,0,Treatment,1,30,29,24,Referral,29.1970802919708,Converted,13,1,1,Urban
105,47,Male,West U.S.,0,166,1-1 Session,96,1,4,10.0,51.0,0,Treatment,0,30,8,0,,55.47445255474452,Engaged,1,5,1,Rural
106,40,Female,Europe,0,438,,2,0,-1,9.345870476655678,36.0,1,Treatment,0,30,27,155,Email Campaign,72.26277372262774,Converted,7,2,1,Urban
107,18,Female,Europe,0,246,1-1 Session,78,1,1,9.345870476655678,9.0,0,Control,1,30,3,0,,58.3941605839416,Lead,5,3,0,Urban
108,31,Female,Midwest U.S.,1,29,Data Course,45,0,1,9.801766597468148,47.0,1,Control,0,30,27,0,,17.51824817518248,Engaged,0,2,0,Suburban
109,27,Male,West U.S.,0,178,Data Course,45,1,4,4.444987177921602,47.0,1,Control,0,30,17,0,,42.33576642335766,Lead,5,4,1,Urban
110,36,Female,Northeast U.S.,1,66,Data Course,45,1,1,9.117922416249444,44.0,0,Control,0,30,11,0,,6.569343065693431,Lead,0,0,0,Urban
111,22,Male,West U.S.,0,240,Data Course,45,1,4,10.0,,0,Treatment,1,30,0,0,,40.14598540145985,Lead,3,3,0,Urban
112,30,Male,Midwest U.S.,1,107,Bundle,60,1,3,2.621402694671715,50.0,1,Treatment,1,30,41,11,Website,41.6058394160584,Converted,15,0,1,Urban
113,28,Non-binary,Europe,0,249,Data Course,45,0,2,7.750234053812025,48.0,0,Treatment,1,30,6,0,,56.934306569343065,Lead,1,3,1,Suburban
114,23,Male,West U.S.,1,28,1-1 Session,37,1,5,9.573818537061914,3.0,0,Control,0,30,8,0,,45.25547445255474,Engaged,1,1,0,Suburban
115,32,Male,Midwest U.S.,1,160,Data Course,45,0,3,4.558961208124721,17.0,0,Control,0,30,5,0,,19.708029197080293,Engaged,5,2,0,Urban
116,26,Female,Northeast U.S.,0,201,eBook,30,0,2,8.434078235030734,7.0,1,Control,0,30,3,0,,67.15328467153284,Engaged,0,3,0,Rural
117,30,Male,Europe,0,318,eBook,30,1,3,5.698701510155901,52.0,0,Treatment,0,30,6,0,,68.61313868613139,Engaged,0,3,0,Rural
118,36,Male,West U.S.,1,82,eBook,30,0,2,5.014857328937193,36.0,0,Treatment,0,30,12,0,,5.109489051094891,Engaged,1,2,1,Urban
119,18,Female,West U.S.,0,182,1-1 Session,166,1,4,7.978182114218262,22.0,1,Control,0,30,7,0,,52.55474452554745,Engaged,2,4,0,Urban
120,30,Female,Europe,1,64,,60,0,2,5.698701510155901,11.0,1,Treatment,0,30,20,0,,37.95620437956204,Lead,1,0,0,Suburban
121,35,Female,West U.S.,0,123,Data Course,45,1,3,3.5331949362966593,59.0,0,Control,0,30,36,0,,62.04379562043796,Lead,3,4,0,Urban
122,35,Male,Europe,0,225,,6,0,1,5.470753449749666,52.0,0,Control,1,30,15,0,,45.98540145985402,Lead,2,3,0,Rural
123,24,Female,Midwest U.S.,0,134,eBook,30,1,5,8.889974355843204,0.0,1,Treatment,1,30,0,0,,45.25547445255474,Engaged,2,0,1,Urban
124,28,Non-binary,Europe,0,303,Bundle,60,1,1,5.926649570562137,45.0,0,Control,0,30,14,0,,45.98540145985402,Lead,0,1,0,Suburban
125,39,Male,Northeast U.S.,0,369,1-1 Session,0,1,5,3.98909105710913,17.0,0,Control,1,30,11,0,,72.99270072992701,Lead,3,4,0,Suburban
126,28,Female,Europe,1,64,eBook,30,1,-2,5.926649570562137,39.0,0,Treatment,1,30,5,0,,40.14598540145985,Lead,2,3,0,Urban
127,36,Female,West U.S.,1,62,,2,1,1,4.672935238327839,33.0,0,Treatment,0,30,19,4,Referral,26.277372262773724,Converted,9,2,1,Suburban
128,20,Female,Europe,1,117,eBook,30,0,3,5.242805389343428,55.0,0,Control,0,30,18,0,,36.496350364963504,Engaged,3,0,0,Urban
129,22,Non-binary,Europe,0,114,eBook,30,0,2,5.470753449749666,41.0,0,Control,0,30,1,0,,37.22627737226277,Lead,1,1,0,Suburban
130,37,Non-binary,Europe,1,136,1-1 Session,172,1,-1,10.0,44.0,1,Treatment,1,30,0,0,,24.087591240875916,Lead,4,1,0,Urban
131,33,Female,Northeast U.S.,0,282,Bundle,60,1,4,6.610493751780845,,0,Treatment,1,30,24,0,,51.82481751824818,Lead,1,3,0,Rural
132,18,Male,Northeast U.S.,0,200,Data Course,45,0,4,6.724467781983963,35.0,0,Control,0,30,0,0,,56.934306569343065,Lead,0,4,0,Urban
133,23,Male,West U.S.,0,137,eBook,30,0,4,10.0,14.0,0,Control,1,30,4,0,,37.95620437956204,Engaged,1,1,0,Urban
134,41,Female,West U.S.,1,126,eBook,30,0,3,7.978182114218262,32.0,1,Treatment,0,30,12,0,,43.79562043795621,Lead,4,3,1,Urban
135,38,Female,Europe,1,30,eBook,30,0,3,10.0,30.0,1,Control,0,30,12,0,,9.48905109489051,Lead,1,1,1,Rural
136,39,Non-binary,Southwest U.S.,0,280,eBook,30,0,1,5.8126755403590185,42.0,1,Control,1,30,11,0,,62.77372262773723,Engaged,3,2,0,Urban
137,37,Male,Midwest U.S.,0,277,,0,0,5,6.1545976309683725,,1,Treatment,1,30,0,0,,63.503649635036496,Lead,0,4,1,Urban
138,20,Female,Europe,0,341,,38,0,3,4.331013147718484,8.0,0,Control,1,30,15,0,,90.51094890510949,Engaged,4,4,1,Urban
139,35,Male,Midwest U.S.,0,338,,68,1,5,7.0663898725933185,27.0,0,Treatment,0,30,6,0,,89.05109489051095,Engaged,0,5,0,Rural
140,21,Non-binary,Northeast U.S.,0,359,,39,1,4,7.978182114218262,16.0,0,Treatment,1,30,13,91,Referral,86.86131386861314,Converted,7,4,1,Rural
141,18,Non-binary,West U.S.,0,297,,63,0,1,8.434078235030734,25.0,1,Control,0,30,11,0,,67.15328467153284,Engaged,0,4,1,Suburban
142,33,Female,Southwest U.S.,0,268,,30,0,4,8.320104204827617,26.0,1,Treatment,0,30,12,0,,67.15328467153284,Lead,1,3,0,Urban
143,18,Male,West U.S.,1,86,,0,0,-3,8.320104204827617,0.0,0,Treatment,1,30,0,0,,0.0,Engaged,2,2,0,Urban
144,28,Male,Northeast U.S.,0,197,,0,0,1,3.8751170269060133,0.0,0,Treatment,1,30,4,0,,52.55474452554745,Lead,1,2,0,Rural
145,31,Female,Europe,0,249,1-1 Session,202,1,5,3.98909105710913,65.0,1,Control,0,30,16,0,,83.21167883211679,Lead,4,2,1,Urban
146,30,Female,Northeast U.S.,0,287,1-1 Session,59,1,2,2.621402694671715,2.0,0,Treatment,1,30,18,0,,72.99270072992701,Lead,3,4,0,Urban
147,23,Male,Southwest U.S.,0,250,Data Course,45,0,3,10.0,43.0,0,Control,0,30,11,0,,48.17518248175183,Engaged,1,4,0,Urban
148,29,Non-binary,Europe,1,67,Data Course,45,0,1,7.408311963202673,25.0,1,Treatment,1,30,5,0,,27.00729927007299,Lead,0,0,0,Urban
149,40,Female,Europe,1,80,Data Course,45,1,3,6.3825456913746095,28.0,0,Treatment,1,30,12,0,,7.2992700729927,Engaged,1,2,1,Rural
150,19,Male,Southwest U.S.,0,258,Bundle,60,1,4,8.092156144421377,21.0,1,Treatment,1,30,0,0,,45.98540145985402,Lead,3,1,0,Urban
151,34,Male,West U.S.,0,266,Data Course,45,0,1,5.8126755403590185,5.0,1,Treatment,0,30,5,0,,62.04379562043796,Lead,4,0,0,Rural
152,21,Female,Europe,1,94,eBook,30,0,1,10.0,14.0,0,Treatment,1,30,7,0,,10.948905109489052,Lead,1,0,1,Suburban
153,26,Male,West U.S.,1,105,eBook,30,1,3,7.0663898725933185,47.0,0,Control,1,30,8,0,,28.46715328467153,Lead,0,0,0,Urban
154,33,Male,Midwest U.S.,0,127,,62,1,5,9.23189644645256,8.0,0,Control,0,30,24,62,Email Campaign,54.01459854014598,Converted,10,4,1,Rural
155,23,Female,Southwest U.S.,1,54,Data Course,45,0,2,8.889974355843204,34.0,1,Treatment,1,30,8,47,Social Media,37.95620437956204,Converted,10,2,1,Urban
156,33,Non-binary,Midwest U.S.,1,91,1-1 Session,123,1,1,3.1912728456873056,,1,Treatment,0,30,13,0,,21.897810218978105,Lead,2,0,0,Suburban
157,42,Non-binary,Europe,0,200,,143,0,3,5.014857328937193,57.0,0,Control,0,30,15,0,,40.87591240875913,Engaged,3,4,0,Urban
158,25,Male,Southwest U.S.,1,46,eBook,30,0,4,3.0772988154841863,6.0,1,Treatment,1,30,21,34,Email Campaign,24.087591240875916,Converted,9,0,1,Rural
159,35,Female,Europe,0,219,1-1 Session,0,1,4,5.128831359140312,,1,Treatment,0,30,35,128,Social Media,40.87591240875913,Converted,7,4,1,Rural
160,29,Female,Southwest U.S.,0,359,eBook,30,0,1,10.0,39.0,0,Control,1,30,26,0,,89.05109489051095,Lead,2,2,1,Suburban
161,26,Male,West U.S.,0,307,,4,1,1,4.558961208124721,56.0,0,Treatment,1,30,0,0,,61.31386861313869,Lead,1,2,1,Suburban
162,29,Female,Northeast U.S.,0,206,Bundle,60,1,-3,9.915740627671267,27.0,0,Control,0,30,23,0,,54.74452554744526,Lead,0,3,1,Urban
163,24,Non-binary,Northeast U.S.,1,25,1-1 Session,160,1,1,9.117922416249444,33.0,0,Treatment,0,30,23,0,,8.75912408759124,Engaged,3,2,0,Urban
164,34,Male,Southwest U.S.,0,197,,19,0,-3,4.558961208124721,26.0,0,Control,0,30,27,0,,45.98540145985402,Lead,1,0,0,Urban
165,34,Male,Midwest U.S.,0,295,,83,0,5,4.672935238327839,35.0,1,Control,0,30,23,0,,87.59124087591242,Engaged,1,3,0,Suburban
166,24,Female,Southwest U.S.,0,199,Bundle,60,1,2,9.459844506858795,26.0,1,Control,1,30,10,0,,41.6058394160584,Engaged,3,0,0,Urban
167,31,Male,West U.S.,1,144,,65,0,-2,9.687792567265031,39.0,0,Control,0,30,1,0,,29.92700729927008,Engaged,4,0,0,Urban
168,43,Female,Midwest U.S.,0,74,Bundle,60,1,4,6.268571661171491,63.0,0,Treatment,1,30,0,0,,57.66423357664233,Engaged,0,2,0,Rural
169,46,Female,Southwest U.S.,0,296,Data Course,45,0,2,9.801766597468148,29.0,0,Treatment,0,30,10,0,,57.66423357664233,Lead,2,2,1,Rural
170,18,Female,Southwest U.S.,0,301,1-1 Session,69,1,1,3.98909105710913,25.0,1,Control,0,30,16,0,,80.2919708029197,Lead,0,4,0,Urban
171,18,Male,Europe,1,94,eBook,30,0,5,6.268571661171491,33.0,0,Treatment,0,30,31,2,Website,27.73722627737226,Converted,6,2,1,Suburban
172,28,Female,West U.S.,0,253,eBook,30,0,1,10.0,20.0,0,Treatment,1,30,0,0,,69.34306569343066,Engaged,4,3,0,Urban
173,22,Female,West U.S.,0,228,,11,0,4,4.900883298734075,47.0,0,Treatment,1,30,0,0,,58.3941605839416,Engaged,0,1,0,Suburban
